subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option
Python,Advanced,medium,What is the primary purpose of decorators?,Modify function behavior,Improve speed,Handle errors,Create classes,a
Python,Advanced,hard,Which keyword is used to build generators?,yield,return,iter,gen,a
Python,Advanced,medium,What problem do context managers solve?,Speed,Resource management,Debugging,Inheritance,b
Python,Advanced,hard,Which methods define a context manager?,__iter__ and __next__,__enter__ and __exit__,__init__ and __call__,__str__ and __repr__,b
Python,Advanced,medium,Why is __slots__ used in classes?,Encapsulation,Reduce memory usage,Inheritance,Abstraction,b
Python,Advanced,hard,Which situation can cause memory leaks in Python?,Garbage collection,Circular references,Unused imports,Low CPU,b
Python,Advanced,medium,What does isinstance() check?,Value equality,Object type,Scope,Memory,b
Python,Advanced,hard,What does Python GIL mainly affect?,I/O tasks,CPU-bound threads,Multiprocessing,Memory,b
Python,Advanced,hard,Which approach is best for CPU-heavy parallelism?,Threading,Asyncio,Multiprocessing,Generators,c
Python,Advanced,medium,What is lazy evaluation?,Immediate execution,Execution on demand,Parallel execution,Recursive execution,b
Python,Advanced,hard,What is monkey patching?,Runtime code modification,Testing technique,Memory optimization,OOP concept,a
Python,Advanced,medium,What does map() return in Python 3?,List,Tuple,Iterator,Set,c
Python,Advanced,hard,Which data structure is best for FIFO queue?,List,Tuple,Deque,Set,c
Python,Advanced,hard,Why are virtual environments important?,Version control,Dependency isolation,Speed,Memory,b
Python,Advanced,medium,What happens if __eq__ is overridden?,Hash removed,Object comparison changes,Class breaks,Nothing,b
ML,Advanced,medium,What does bias–variance tradeoff explain?,Accuracy vs loss,Underfitting vs overfitting,Training vs testing,Speed vs memory,b
ML,Advanced,hard,Which technique reduces model variance?,Increase depth,Regularization,Reduce data,Remove features,b
ML,Advanced,medium,Why is cross-validation preferred?,Increase data size,Stable evaluation,Speed up training,Feature scaling,b
ML,Advanced,hard,Which method tunes hyperparameters?,Grid Search,Encoding,Normalization,Imputation,a
ML,Advanced,medium,What is data leakage?,Test data used in training,Missing values,Class imbalance,Noise,a
ML,Advanced,hard,Which metric matters when false negatives are costly?,Accuracy,Precision,Recall,F1,c
ML,Advanced,medium,What does PCA primarily do?,Feature selection,Dimensionality reduction,Classification,Clustering,b
ML,Advanced,hard,Why is scaling required for KNN?,Distance-based algorithm,Noise removal,Bias reduction,Speed,a
ML,Advanced,medium,What is ensemble learning?,Single model training,Combining multiple models,Feature extraction,Sampling,b
ML,Advanced,hard,Which ensemble method reduces overfitting?,Boosting,Bagging,Stacking,Scaling,b
ML,Advanced,medium,What is concept drift?,Change in data distribution,Overfitting,Noise,Feature scaling,a
ML,Advanced,hard,Which validation suits time-series data?,KFold,Stratified,Random split,Time-based split,d
ML,Advanced,medium,What does regularization penalize?,Bias,Variance,Large coefficients,Small dataset,c
ML,Advanced,hard,Which algorithm is most sensitive to feature scaling?,Decision Tree,Naive Bayes,KNN,Random Forest,c
